slide;champ;avant;apres;raison
7;anglais;| quit.;I quit.;Correction OCR / grammaire de base
8;français;;Mon Dieu.;Traduction manquante complétée
13;anglais;l agree.;I agree.;Correction OCR / grammaire de base
14;anglais;l'm Tom.;I'm Tom.;Correction OCR / grammaire de base
18;français;Si longtemps.;À bientôt.;Traduction corrigée (sens)
20;français;;Permettez-moi.;Traduction manquante complétée
22;français;;Courage.;Traduction manquante complétée
27;anglais;l'm home.;I'm home.;Correction OCR / grammaire de base
30;français;Mon régal.;C'est moi qui paie.;Traduction corrigée (sens)
36;français;;Suivez-moi.;Traduction manquante complétée
37;français;;Oublie ça.;Traduction manquante complétée
39;anglais;1 decline.;I decline.;Correction OCR / grammaire de base
40;anglais;| promise.;I promise.;Correction OCR / grammaire de base
41;anglais;l'm broke.;I'm broke.;Correction OCR / grammaire de base
43;français;;Bien sûr.;Traduction manquante complétée
50;anglais;Well see.;We'll see.;Correction OCR / grammaire de base
53;français;Bas en haut.;Santé !;Traduction corrigée (sens)
56;anglais;l'm single.;I'm single.;Correction OCR / grammaire de base
60;français;;Là-bas.;Traduction manquante complétée
65;anglais;| apologize.;I apologize.;Correction OCR / grammaire de base
66;anglais;l'm cooking.;I'm cooking.;Correction OCR / grammaire de base
73;français;Refroidir à nouveau.;Encore fauché.;Traduction corrigée (sens)
84;français;Assurez-vous.;Fais comme tu veux.;Traduction corrigée (sens)
100;anglais;1 lost.;I lost.;Correction OCR / grammaire de base
106;anglais;Hovw's everything?;How's everything?;Correction OCR / grammaire de base
109;anglais;Yes, l understand.;Yes, I understand.;Correction OCR / grammaire de base
112;français;Cela vaut la peine.;Ça vaut la peine.;Traduction corrigée (sens)
113;français;Ne tremblez pas.;Ne traîne pas.;Traduction corrigée (sens)
114;anglais;Speak loudertplease.;Speak louder, please.;Correction OCR / grammaire de base
115;anglais;So doll.;So dull.;Correction OCR / grammaire de base
115;français;;Si ennuyeux.;Traduction manquante complétée
116;anglais;l hope so.;I hope so.;Correction OCR / grammaire de base
121;anglais;1 doubt it.;I doubt it.;Correction OCR / grammaire de base
122;anglais;| envy you.;I envy you.;Correction OCR / grammaire de base
123;anglais;l hate you.;I hate you.;Correction OCR / grammaire de base
124;anglais;| love you.;I love you.;Correction OCR / grammaire de base
125;anglais;1 think so.;I think so.;Correction OCR / grammaire de base
135;anglais;l'm fine, thanks.;I'm fine, thanks.;Correction OCR / grammaire de base
139;anglais;l'Il get it.;I'll get it.;Correction OCR / grammaire de base
140;anglais;l'm his fan.;I'm his fan.;Correction OCR / grammaire de base
143;français;;Pas trop mal.;Traduction manquante complétée
152;anglais;| assure you.;I assure you.;Correction OCR / grammaire de base
153;anglais;| can manage.;I can manage.;Correction OCR / grammaire de base
154;anglais;| can't tell.;I can't tell.;Correction OCR / grammaire de base
155;anglais;| suppose so.;I suppose so.;Correction OCR / grammaire de base
156;anglais;l'Il take it.;I'll take it.;Correction OCR / grammaire de base
157;anglais;l'm a farmer.;I'm a farmer.;Correction OCR / grammaire de base
161;français;;Du calme.;Traduction manquante complétée
166;anglais;l'Il check it.;I'll check it.;Correction OCR / grammaire de base
167;anglais;l'Il show you.;I'll show you.;Correction OCR / grammaire de base
168;anglais;l'm a housevwife.;I'm a housevwife.;Correction OCR / grammaire de base
169;anglais;l'm a student.;I'm a student.;Correction OCR / grammaire de base
