slide;anglais;français
2;Hello.;Bonjour.
3;Probably.;Probablement.
4;Certainly.;Certainement.
5;Absolutely.;Absolument.
6;Congratulations.;Toutes nos félicitations.
7;I quit.;J'arrête.
8;My god.;Mon Dieu.
9;No way.;En aucune façon.
10;And she?;Et elle?
11;Come on.;Allons.
12;Hold on.;Attendez.
13;I agree.;Je suis d'accord.
14;I'm Tom.;Je suis Tom.
15;Not yet.;Pas encore.
16;See you.;À plus.
17;Shut up.;Tais-toi.
18;So long.;À bientôt.
19;Why not?;Pourquoi pas?
20;Allow me.;Permettez-moi.
21;Be quiet.;Soyez silencieux.
22;Cheer up.;Courage.
23;Get lost.;Foutez le camp.
24;Goodbye.;Au Revoir.
25;He's Tim.;Ilest Tim.
26;How much?;Combien?
27;I'm home.;Je suis à la maison.
28;It's July.;C'est juillet.
29;Mind you.;Attention.
30;My treat.;C'est moi qui paie.
31;Sit down.;Asseyez-vous.
32;This way.;Par ici.
33;After you.;Après vous.
34;All right.;D'accord.
35;Bless you.;Soyez bénis.
36;Follow me.;Suivez-moi.
37;Forget it.;Oublie ça.
38;Good luck.;Bonne chance.
39;I decline.;Je refuse.
40;I promise.;Je promets.
41;I'm broke.;Je suis fauché.
42;Nonsense.;Absurdité.
43;Of course.;Bien sûr.
44;Slow down.;Ralentissez.
45;Take care.;Prends soin.
46;That's OK.;C'est bon.
47;They hurt.;Ils font mal
48;Try again.;Réessayer.
49;Watch out.;Fais attention.
50;We'll see.;Nous verrons.
51;What's up?;Quoi de neuf?
52;Be careful.;Faites attention.
53;Bottoms up.;Santé !
54;Don't move.;Ne bougez pas.
55;Guess what?;Devine quoi?
56;I'm single.;Je suis célibataire.
57;It's awful.;C'est affreux.
58;Never mind.;Ça ne fait rien.
59;No problem.;Pas de problème.
60;Over there.;Là-bas.
61;That's all.;C'est tout.
62;What's new?;Quoi de neuf?
63;Don't worry.;Ne vous inquiétez pas.
64;Feel better?;Se sentir mieux?
65;I apologize.;Je m'excuse.
66;I'm cooking.;Je cuisine.
67;It's John's.;C'est John's.
68;Much better.;Beaucoup mieux.
69;Tea, please.;Thé s'il vous plaît.
70;That's fine.;C'est très bien.
71;What's this?;Qu'est-ce que c'est ça?
72;Yes, please.;Oui s'il vous plaît.
73;Broke again.;Encore fauché.
74;Don't bother.;Ne dérangez pas.
75;Good morning.;Bonjour.
76;It's awesome.;C'est génial.
77;It's nothing.;Ce n'est rien.
78;No, she isn't.;Non, elle n'est pas.
79;That depends.;Ça dépend.
80;Any questions?;Des questions?
81;Excuse mellSir.;Excusez-moi monsieur,
82;Help yourself.;Aide-toi.
83;It's December.;C'est décembre.
